Start,Finish,Steps (count)
29/11/14 0:00,30/11/14 0:00,21427
30/11/14 0:00,1/12/14 0:00,4321
1/12/14 0:00,2/12/14 0:00,10473
2/12/14 0:00,3/12/14 0:00,15784
3/12/14 0:00,4/12/14 0:00,2783
4/12/14 0:00,5/12/14 0:00,18196
5/12/14 0:00,6/12/14 0:00,6529
6/12/14 0:00,7/12/14 0:00,2944
7/12/14 0:00,8/12/14 0:00,6515
8/12/14 0:00,9/12/14 0:00,9598
9/12/14 0:00,10/12/14 0:00,21448
10/12/14 0:00,11/12/14 0:00,10488
11/12/14 0:00,12/12/14 0:00,6252
12/12/14 0:00,13/12/14 0:00,7087
13/12/14 0:00,14/12/14 0:00,15242
14/12/14 0:00,15/12/14 0:00,14396
15/12/14 0:00,16/12/14 0:00,4151
16/12/14 0:00,17/12/14 0:00,12621
17/12/14 0:00,18/12/14 0:00,9846
18/12/14 0:00,19/12/14 0:00,7315
19/12/14 0:00,20/12/14 0:00,12247
20/12/14 0:00,21/12/14 0:00,6835
21/12/14 0:00,22/12/14 0:00,5374
22/12/14 0:00,23/12/14 0:00,5892
23/12/14 0:00,24/12/14 0:00,9640
24/12/14 0:00,25/12/14 0:00,10806
25/12/14 0:00,26/12/14 0:00,6696
26/12/14 0:00,27/12/14 0:00,9960
27/12/14 0:00,28/12/14 0:00,13496
28/12/14 0:00,29/12/14 0:00,8488
29/12/14 0:00,30/12/14 0:00,6031
30/12/14 0:00,31/12/14 0:00,5376
31/12/14 0:00,1/1/15 0:00,12538
1/1/15 0:00,2/1/15 0:00,8030
2/1/15 0:00,3/1/15 0:00,7352
3/1/15 0:00,4/1/15 0:00,7892
4/1/15 0:00,5/1/15 0:00,4479
5/1/15 0:00,6/1/15 0:00,10499
6/1/15 0:00,7/1/15 0:00,17999
7/1/15 0:00,8/1/15 0:00,9291
8/1/15 0:00,9/1/15 0:00,11534
9/1/15 0:00,10/1/15 0:00,11877
10/1/15 0:00,11/1/15 0:00,9217
